pairs,labels
Betty Boothroyd 712679480 9780712679480 384 November 1st 2002 Random House UK   Betty Boothroyd: Autobiography [SEP] Betty Boothroyd   9780099427049 434 10/28/02 Random House UK Betty Boothroyd Autobiography,1
Charles Darwin   511     On The Origin of Species Illustrated and Bundled with the Autobiography [SEP] Charles Darwin   9781411429178 464 9/1/09 Barnes &amp; Noble The Autobiography of Charles Darwin (Barnes & Noble Library of Essential Reading),0
"Jon E. Lewis 1849017204 9781849017206 320     SAS: The Autobiography [SEP] Jon E. Lewis   9781780337500 480 3/1/12 ""Little  Brown Book Group""",0
Eugenia Price 385276184 9780385276184 174 March 1st 1982 Dial Press   The Burden Is Light: The Autobiography of a Transformed Pagan Who Took God at His Word [SEP] Eugenia Price   9780307515599 188 2/24/10 Crown/Archetype The Burden Is Light: A Spiritual Autobiography,0
Andrew Carnegie   0 October 18th 2010 Halcyon Press Ltd.   The Autobiography of Andrew Carnegie [SEP] Andrew Carnegie   9781490572543 174 6/29/13 CreateSpace Independent Publishing Platform Autobiography of Andrew Carnegie,0
Andrew Carnegie   0 October 18th 2010 Halcyon Press Ltd.   The Autobiography of Andrew Carnegie [SEP] Andrew Carnegie   9781494715953 384 12/17/13 CreateSpace Independent Publishing Platform Autobiography of Andrew Carnegie: Autobiography,0
Teresa of vila 486475980 9780486475981 352 July 21st 2010 Dover Publications   Autobiography of St. Teresa of Avila [SEP] St. Teresa of Avila   9780486475981 352 7/21/10 Dover Publications Autobiography of St. Teresa of Avila,1
Teresa of vila 486475980 9780486475981 352 July 21st 2010 Dover Publications   Autobiography of St. Teresa of Avila [SEP] Teresa of Jesus   9781783360826  1/13/14 limovia.net The Life of St. Teresa of Jesus: Autobiography,0
"Mark Twain 1441778403 9781441778406 0 November 15th 2010 Blackstone Audiobooks Harriet E. Smith Grover Gardner ""Autobiography of Mark Twain: The Complete and Authoritative Edition [SEP]  Volume 1  Part 1"" Mark Twain   9781608427710 600 7/2/13",0
"Mark Twain 1441778403 9781441778406 0 November 15th 2010 Blackstone Audiobooks Harriet E. Smith Grover Gardner ""Autobiography of Mark Twain: The Complete and Authoritative Edition [SEP]  Volume 1  Part 1"" Mark Twain Grover Gardner  9781504637169  10/15/15",0
Charles Grandison Finney 764201565 9780764201561 230 May 1st 2006 Bethany House Publishers Helen Wessel  The Autobiography of Charles G. Finney: The Life Story of America's Great Evangelist-In His Own Words [SEP] Charles G. Finney   9781441205469 240 5/1/06 Baker Publishing Group The Autobiography of Charles G. Finney: The Life Story of America's Greatest Evangelist--In His Own Words,1
Charles Grandison Finney 764201565 9780764201561 230 May 1st 2006 Bethany House Publishers Helen Wessel  The Autobiography of Charles G. Finney: The Life Story of America's Great Evangelist-In His Own Words [SEP] Charles G. Finney Revival Press  9781517290627 382 9/9/15 CreateSpace Publishing Charles G. Finney An Autobiography,0
"Graham Roumieu 091639784X 9780916397845 44 March 1st 2003 Manic D Pres   In Me Own Words: The Autobiography of Bigfoot (Bigfoot #1) [SEP] Graham Roumieu   9780916397845 44 3/10/03 ""Manic D Press  Inc.""",1
"Benjamin Franklin 1275666787 9781275666788 568 February 1st 2012 Gale Ecc   Benjamin Franklin: His Autobiography. [SEP] Benjamin Franklin Ben Franklin Poor Richard 9781611043297 182 12/28/10 ReadaClassic.com ""The Autobiography of Benjamin Franklin: In His Own Words",0
Benjamin Franklin 1275666787 9781275666788 568 February 1st 2012 Gale Ecc   Benjamin Franklin: His Autobiography. [SEP] Franklin Benjamin 1706-1790   9781313898133 270 1/28/13 HardPress Publishing The Autobiography of Benjamin Franklin,0
Benjamin Franklin 1275666787 9781275666788 568 February 1st 2012 Gale Ecc   Benjamin Franklin: His Autobiography. [SEP] Benjamin Franklin   2940026646524   The Macmillan co. Autobiography of Benjamin Franklin: With Introduction and Notes,0
"Mark Twain   202     ""Autobiography of Mark Twain: The Authentic [SEP]  Original Version"" Mark Twain   2940013663541  1/16/12 WDS Publishing",0
"Mark Twain   202     ""Autobiography of Mark Twain: The Authentic [SEP]  Original Version"" Mark Twain   9781441778437 20 11/15/10 ""Blackstone Audio",0
"Mark Twain   202     ""Autobiography of Mark Twain: The Authentic [SEP]  Original Version"" Twain Mark   9781297300837 52 2/19/15 Scholar's Choice",0
"Jon E. Lewis 1849010838 9781849010832 544 January 28th 2010 Robinson Publishing   Rome: The Autobiography: The rise and fall of the Roman empire by those who saw it. [SEP] Jon E. Lewis   9781472107824 544 2/7/13 ""Little  Brown Book Group""",0
Jon E. Lewis 1849010838 9781849010832 544 January 28th 2010 Robinson Publishing   Rome: The Autobiography: The rise and fall of the Roman empire by those who saw it. [SEP] Jon E. Lewis   9781459642973 454 7/2/12 ReadHowYouWant.com Pty Limited Spitfire: The Autobiography: The Plane and the Men That Saved Britain in 1940 in Their Own Words (Large Print 16pt),0
"Mark Twain   46 2009 bibliolife   ""Mark Twain's Burlesque Autobiography; and [SEP]  First Romance"" Mark Twain   9780520279940 792 10/15/15 University of California Press",0
"Mark Twain   46 2009 bibliolife   ""Mark Twain's Burlesque Autobiography; and [SEP]  First Romance"" Mark Twain   9780520272781 776 10/5/13 University of California Press",0
"Mark Twain   46 2009 bibliolife   ""Mark Twain's Burlesque Autobiography; and [SEP]  First Romance"" Mark Twain Grover Gardner  9781504637169  10/15/15 ""Blackstone Audio",0
"Mark Twain   46 2009 bibliolife   ""Mark Twain's Burlesque Autobiography; and [SEP]  First Romance"" Mark Twain   9782819913436  12/2/10 pubOne.info",0
Ingrid Pitt 434007625 9780434007622 320 August 2nd 1999 William Heinemann   Life's a Scream: Autobiography of Ingrid Pitt [SEP] Ingrid Pitt   9781446441503 304 1/25/11 Random House Adult Trade Publishing Group Life's A Scream,0
Pat Martino 1617130273 9781617130274 192 September 1st 2011 Backbeat Books Bill Milkowski  Here and Now!: The Autobiography of Pat Martino [SEP] Pat Martino   9781617130274 224 10/25/11 Hal Leonard Corporation Here and Now!: The Autobiography of Pat Martino,1
