pairs,labels
"""Benq ZOWIE RL2455 24"" Full HD TN Grey computer monitor"" 4718755065736)"" ""Product data Benq monitor monitors (9H.LF4LB.DBE [SEP] ""Zowie RL2455 E-Sports 24"" Full HD LED Monitor"" 24 inch 1ms Monitor - HDMI 9H.LF4LB.DBE | CCL Computers"" Speakers",1
"""TP-LINK 8-Port Fast Ethernet Desktop Switch (TL-SF1008D)""@en-US ""Switches | Laptops Outlet Direct""@en-US [SEP] ""Tripp Lite 750VA 450W UPS Eco Green Battery Back Up Compact 120V USB RJ11"" "" Tripp RJ11 - ECO750UPS UPS/Battery Backups CDW.com",0
"""Fire, 7"" Display, Wi-Fi, 8 GB - Includes Special Offers, Black (B00TSUGXKE | SV98LN 848719062854)""@en Display Offers Budkoo!""@en ""Best Deals Fire Wi-Fi [SEP] ""Apple iPad mini 4 Wi-Fi - tablet 128 GB 7.9"""" "" Apple 7.9"" MK9P2LL/A Tablets CDW.com",0
"""Corsair Vengeance SODIMM 8GB (2x4GB) DDR3 PC3-12800C9 1600MHz Kit (CMSX8GX3M2A1600C9)""@en ""▷ Corsair 1600MH… | OcUK""@en [SEP] ""364622-B23 HP 300-GB 10K FC-AL HDD"" ""Null""",0
"""672631-B21 HP 16GB (1x16GB) SDRAM DIMM"" ""Null"" [SEP] ""404712-001 HP 146-GB U320 SCSI 15K"" ""Null""",0
"""WD Red NAS 3.5"" Internal HDD SATA 6Gb/s, 2TB""@en 6Gb/s 2TB - WD | CPC ""@en [SEP] ""Buy Online | WD Red WD20EFRX 2TB Desktop Internal Hard Drive Price in India""@en-US",1
"""Intel Processor, Core i7-7700K""@en i7-7700K (BX80677I77700K)""@en Processor [SEP] ""Intel - Core i3-6100 3.7GHz Dual-Core Processor"" Processor (BX80662I36100) PCPartPicker""",0
""" WD Black 2TB Performance Desktop Hard Disk Drive - 7200 RPM SATA 6 Gb/s 64MB Cache 3.5 Inch WD2003FZEX ""@en-US ""WD WD200""@en-US [SEP] ""HDD Black 2TB 3.5 SATA 6Gbs 64MB""@es ""Cables Tu tienda online líder con precios más baratos! ""@es",1
"""AMD Ryzen Threadripper 1950X Box""@es [SEP] ""AMD Ryzen Threadripper Sixteen Core 1950X 4.00GHz (Socket TR4) Processor - Retail""@en ""▷ AMD TR… | OcUK""@en",1
"""HPE Smart Array P421/2GB with FBWC - storage controller (RAID) SATA 6Gb/s"" "" HPE 6Gb/s 631674-B21 RAID Controllers CDW.com [SEP] ""Transcend TS64GUSDU1 - flash memory card 64 GB SDXC UHS-I"" "" Transcend UHS-I Flash Memory Cards CDW.com",0
"""Corsair Dominator Platinum 16GB (2x8GB) DDR4 PC4-24000 3000MHz Dual Channel Kit ""@en 2x8GB | CMD16GX4M2B3000C15 Novatech""@en [SEP] ""Corsair Vengeance LPX Red 16GB (4x4GB) DDR4 PC4-24000 3000MHz Dual/Quad Channel Kit ""@en 4x4GB | CMK16GX4M4B3000C15R Novatech""@en",0
"""Apple iMac 21.5-inch 3.06GHz Core i3 (Mid 2010) MC508LL/A"" ""iMac 21.5"" | macofalltrades"" [SEP] ""Apple MacBook Pro 13-inch (Glossy) 2.5GHz Core i5 (Mid 2012) MD101LL/A"" ""MacBook 13"" | macofalltrades""",0
"""345628-B21 BL40P (1) X2.2GHz 2MB Server"" ""Null"" [SEP] ""345628-B21 BL40P (1) X2.2GHz 2MB Server"", ""Null"" Price 345628-B21"" Server Wholesale 345628-B21",1
"""SanDisk SDSDB-016G CRZ 16GB SDHC card Class 2 2MB/s Bulk"" [SEP] ""SanDisk SDSDJ-016G CRZ 16GB 9p SDHC card Class 2 2MB/s Bulk""",1
"""Apple 12.9"" iPad Pro Smart cover MK0L2M/A""@en MK0L2M/A LN72920 - MK0L2ZM/A | SCAN UK""@en [SEP] ""Apple iPad mini 4 Wi-Fi 128GB - Oro""@es Mini Gris Black Friday 2017 ""@es",0
"""Gigabyte Intel Z370M D3H Coffee Lake Micro ATX Motherboard""@en Motherboard LN84639 | SCAN UK""@en [SEP] ""Gigabyte B250M D3H Kaby Lake Micro ATX Motherboard""@en Motherboard LN77113 - GA-B250M-D3H | SCAN UK""@en",0
"""XTA-3510-73-GB-10K Sun 73-GB 10K HP FC-AL HDD"" ""Null"" [SEP] ""XTA-3510-300-GB-10K Sun 300-GB 10K HP FC-AL HDD"" ""Null""",0
"""AMD Ryzen 5 1600 6 Core AM4 CPU/Processor with Wraith Spire 95W cooler""@en cooler LN79704 - YD1600BBAEBOX | SCAN UK""@en [SEP] ""AMD Ryzen 5 1600 Six-Core Processor with Wraith Spire (no LED) 95W cooler ""@en no LED | YD1600BBAEBOX Novatech""@en",1
"""Apple iMac 21.5-inch 2.5GHz Quad-core i5 (Mid 2011) MC309LL/A"" ""iMac 21.5"" | macofalltrades"" [SEP] ""Intel Xeon E5-2609V2 / 2.5 GHz processor"" "" Intel processor - 712741-B21 Add-In Processors (CPUs) CDW.com",0
"""Crucial - DDR3L 4 GB DIMM 240-pin"" "" Crucial 240-pin CT51264BD160BJ System Memory (RAM) CDW.com [SEP] ""Crucial - DDR3L 4 GB SO-DIMM 204-pin"" "" Crucial 204-pin CT4G3S186DJM System Memory (RAM) CDW.com",0
"""Gigabyte Kaby Lake i7 BRIX S Barebone Mini PC Kit with 2.5"" SATA Bay""@en Bay LN76130 - GB-BKi7HA-7500 | SCAN UK""@en [SEP] "" Gigabyte Brix GB-BXBT-2807 2.5"" HDD Celeron Barebone Mini PC ""@en ""Gigabyte for €134.95 from Maplin - Pricesearcher""@en",0
"""Crucial 4GB PC3-12800 240-pin DDR3 SDRAM DIMM""@en DIMM (CT51264BD160B)""@en [SEP] ""Crucial - DDR3L 4 GB DIMM 240-pin"" "" Crucial 240-pin CT51264BD160BJ System Memory (RAM) CDW.com",1
