pairs,labels
web caching for database applications with oracle web cachejordan parker  jesse anton  zheng zeng  lawrence jacobs  tie zhong  xiang liusigmod conference2002 [SEP] form-based proxy caching for database-backed web sitesqiong luo  jeffrey f. naughtonvery large data bases2001,0
oracle industrial exhibitamy poguevldb1998 [SEP] objectivity industrial exhibitobjectivityvery large data bases1998,0
extracting large-scale knowledge bases from the webandrew tomkins  prabhakar raghavan  ravi kumar  sridhar rajagopalanvldb1999 [SEP] amalgamating knowledge basesv. s. subrahmanianacm transactions on database systems ( tods )1994,0
efficient optimistic concurrency control using loosely synchronized clocksbarbara liskov  atul adya  robert gruber  umesh maheshwarisigmod conference1995 [SEP] efficient optimistic concurrency control using loosely synchronized clocksatul adya  robert gruber  barbara liskov  umesh maheshwariinternational conference on management of data1995,1
odefs : a file system interface to an object-oriented databasenarain h. gehani  william d. roome  h. v. jagadishvldb1994 [SEP] unisql/x unified relational and object-oriented database systemwon kiminternational conference on management of data1994,0
emergent semantics and the multimedia semantic webwilliam i. grosky  farshad fotouhi  d. v. sreenathsigmod record2002 [SEP] emergent semantics and the multimedia semantic webw. i. grosky  d. v. sreenath  f. fotouhiacm sigmod record2002,1
dwms : data warehouse management systemnarendra mohanvldb1996 [SEP] strudel : a web site management systemmary fernandez  daniela florescu  jaewoo kang  alon levy  dan suciuinternational conference on management of data1997,0
data mining techniquesjiawei hansigmod conference1996 [SEP] data mining : concepts and techniques by jiawei han and micheline kamberfernando berzal  nicolf &#225; s mat &#237; nacm sigmod record2002,0
qursed : querying and reporting semistructured datayannis papakonstantinou  michalis petropoulos  vasilis vassalossigmod conference2002 [SEP] extracting schema from semistructured datasvetlozar nestorov  serge abiteboul  rajeev motwaniinternational conference on management of data1998,0
advances in databases and information systems ( adbis )albertas caplinskas  johann eder  olegas vasilecassigmod record2002 [SEP] amicalola report : database and information systems research challenges and opportunities in semantic web and enterprisesamit sheth  robert meersmanacm sigmod record2002,0
query unnesting in object-oriented databasesleonidas fegarassigmod conference1998 [SEP] calibrating the query optimizer cost model of iro-db  an object-oriented federated database systemgeorges gardarin  fei sha  zhao-hui tangvery large data bases1996,0
data management for pervasive computingmitch cherniack  stanley b. zdonik  michael j. franklinvldb2001 [SEP] data management for pervasive computingmitch cherniack  michael j. franklin  stanley b. zdonikvery large data bases2001,1
secure transaction processing in firm real-time database systemsbinto george  jayant r. haritsasigmod conference1997 [SEP] databases and transaction processing : an application-oriented approachphilip m. lewis  arthur bernstein  michael kiferacm sigmod record2002,0
declarative updates of relational databasesweidong chenacm trans . database syst .1995 [SEP] enhanced abstract data types in object-relational databasespraveen seshadrithe vldb journal -- the international journal on very large data bases1998,0
a taxonomy for secure object-oriented databasessebastiaan h. von solms  martin s. olivieracm trans . database syst .1994 [SEP] a taxonomy for secure object-oriented databasesmartin s. olivier  sebastiaan h. von solmsacm transactions on database systems ( tods )1994,1
what is the data warehousing problem ? ( are materialized views the answer ? )inderpal singh mumick  ashish guptavldb1996 [SEP] algorithms for materialized view design in data warehousing environmentjian yang  kamalakar karlapalem  qing livery large data bases1997,0
enterprise objects framework  a second generation object-relational enablercharly kleissnersigmod conference1995 [SEP] enterprise objects framework : a second generation object-relational enablercharly kleissnerinternational conference on management of data1995,1
effective timestamping in databaseschristian s. jensen  kristian torp  richard t. snodgrassvldb j.2000 [SEP] priority assignment in real-time active databasesrajendran m. sivasankaran  john a. stankovic  don towsley  bhaskar purimetla  krithi ramamrithamthe vldb journal -- the international journal on very large data bases1996,0
lambda-db : an odmg-based object-oriented dbmsarvind rajendran  david maier  leonidas fegaras  chandrasekhar srinivasansigmod conference2000 [SEP] odmg-93 : a standard for object-oriented dbmssr. g. g. cattellinternational conference on management of data1994,0
compressing sql workloadssurajit chaudhuri  ashish kumar gupta  vivek r. narasayyasigmod conference2002 [SEP] compressing sql workloadssurajit chaudhuri  ashish kumar gupta  vivek narasayyainternational conference on management of data2002,1
the algres testbed of chimera : an active object-oriented database systemgiuseppe psaila  stefano ceri  stefano paraboschi  piero fraternalisigmod conference1995 [SEP] the trigs active object-oriented database system - an overviewg. kappel  w. retschitzeggeracm sigmod record1998,0
on wrapping query languages and efficient xml integrationjérôme siméon  vassilis christophides  sophie cluetsigmod conference2000 [SEP] on wrapping query languages and efficient xml integrationvassilis christophides  sophie cluet  j &#233; r &#466; me sim &#232; oninternational conference on management of data2000,1
document management as a database problemrudolf bayervldb1995 [SEP] is web-site management a database problem ?daniela florescu  alon y. levy  dan suciuvery large data bases1998,0
index nesting - an efficient approach to indexing in object-oriented databasesjiawei han  beng chin ooi  hongjun lu  kian-lee tanvldb j.1996 [SEP] converting relational to object-oriented databasesjoseph fongacm sigmod record1997,0
controlling data warehouses with knowledge networksjan-dirk becker  matthias jarke  andreas boehmer  elvira schaefervldb2000 [SEP] controlling data warehouses with knowledge networkselvira schaefer  jan-dirk becker  andreas boehmer  matthias jarkevery large data bases2000,1
temporal database system implementationsmichael h. böhlensigmod record1995 [SEP] temporal conditions and integrity constraints in active database systemsa. prasad sistla  ouri wolfsoninternational conference on management of data1995,0
ansi sql hierarchical processing can fully integrate native xmlmichael m. davidsigmod record2003 [SEP] ansi sql hierarchical processing can fully integrate native xmlmichael m. davidacm sigmod record2003,1
warping indexes with envelope transforms for query by hummingdennis shasha  yunyue zhusigmod conference2003 [SEP] warping indexes with envelope transforms for query by hummingyunyue zhu  dennis shashainternational conference on management of data2003,1
reminiscences on influential paperstheodore johnson  amr el abbadi  richard t. snodgrass  kenneth a. rosssigmod record2002 [SEP] influential papersken rossacm sigmod record2002,0
database research at ut arlingtonsharma chakravarthy  y. alp aslandogan  ramez elmasri  leonidas fegaras  jung-hwan ohsigmod record2003 [SEP] database research at arizona state universitysusan d. urban  suzanne w. dietrich  forouzan golshaniacm sigmod record1996,0
lore : a database management system for semistructured dataroy goldman  serge abiteboul  jennifer widom  dallan quass  jason mchughsigmod record1997 [SEP] dwms : data warehouse management systemnarendra mohanvery large data bases1996,0
discover : keyword search in relational databasesvagelis hristidis  yannis papakonstantinouvldb2002 [SEP] converting relational to object-oriented databasesjoseph fongacm sigmod record1997,0
