pairs,labels
"""4632 N. Rockwell Street  Chicago"" Rockwell's Neighborhood Grill [SEP] (773) 509-1871 60625 4632 N Rockwell St",1
"""4632 N. Rockwell Street  Chicago"" Rockwell's Neighborhood Grill [SEP] (773) 509-1871 60625 3658 W Lawrence Ave",0
"""1932 W. Division Street  Chicago"" The Boundary Tavern and Grille [SEP] (773) 278-1919 60622 1751 W Chicago Ave",0
500 Main Street Brothers K Coffeehouse (847) 328-7940 [SEP] 60202 218 S. Main Street 1855 Saloon and Grill,0
"""2207 N. Clybourn Avenue  Chicago"" Pequod's Pizza [SEP] (773) 327-1512 60614 2207 N Clybourn Ave",1
"""1419 N. Wells Street  Chicago"" Old Town Pour House [SEP] (312) 477-2800 60610 455 W North Ave",0
"""1549 W. Division Street  Chicago"" Podhalanka [SEP] (773) 486-6655 60642 1549 W Division St",1
"""160 W. Adams Street  Chicago"" Ara On [SEP] (312) 781-7300 60603 160 W Adams St",1
"""2201 N. Clybourn Avenue  Chicago"" The Drinkingbird [SEP] (773) 472-9920 60614 2201 N Clybourn Ave",1
"""2408 N. Lincoln Avenue  Chicago"" Allende Restaurant [SEP] (773) 477-7114 60614 2506 N Clybourn Ave",0
"""1321 W. Grand Avenue  Chicago"" Coalfire [SEP] (312) 226-2625 60642 1321 W Grand Ave",1
"""676 N. St. Clair Street  Chicago"" Tru [SEP] (312) 202-0001 60611 676 N St. Clair St",1
"""1751 W. Chicago Avenue  Chicago"" Yuzu Sushi and Robata Grill [SEP] (312) 666-4100 60622 1413 N Ashland Ave",0
695 N. Milwaukee Avenue Cy's King Crab Oyster Bar & Grill (312) 280-8990 [SEP] 60642 401 N. Milwaukee Ave Black Iron Tavern,0
"501 N Milwaukee Avenue ""Tsukasa Japanese Steak  Seafood [SEP]  & Sushi"" (847) 816-8770 60061",0
"501 N Milwaukee Avenue ""Tsukasa Japanese Steak  Seafood [SEP]  & Sushi"" (847) 816-8770 60061",0
"501 N Milwaukee Avenue ""Tsukasa Japanese Steak  Seafood [SEP]  & Sushi"" (847) 816-8770 60061",0
"""837 W. Fulton Market  Chicago"" The Publican [SEP] (312) 733-9555 60607 837 W Fulton Market",1
"""1863 N. Clybourn Avenue  Chicago"" Franks 'N' Dawgs [SEP] (312) 281-5187 60614 1863 N Clybourn Ave",1
"""4749 N. Western Avenue  Chicago"" Garcia's Restaurant [SEP] (773) 769-5600 60625 4959 N Kedzie Ave",0
"""2546 N. Clark Street  Chicago"" Toro Sushi [SEP] (773) 348-4877 60614 2546 N Clark St",1
"""32 N. Clark Street  Chicago"" Bridge House Tavern On The River [SEP] (312) 644-0283 60654 353 W Hubbard St",0
"""535 N. Michigan Avenue  Chicago"" Bandera [SEP] (312) 644-3524 60611 535 N Michigan Ave",1
"""2900 W. Belmont Avenue  Chicago"" Kuma's Corner [SEP] (773) 604-8769 60618 2900 W Belmont Ave",1
"""809 W. Randolph Street  Chicago"" Girl & the Goat [SEP] (312) 492-6262 60607 820 W Randolph St",0
"""1529 W. Chicago Avenue  Chicago"" Mexique [SEP] (312) 850-0288 60622 1529 W Chicago Ave",1
"""1664 N. Ada Street  Chicago"" Ada Street [SEP] (773) 697-7069 60642 1523 N Kingsbury St",0
"""2956 N. Sheffield Avenue  Chicago"" Fish Bar [SEP] (773) 687-8177 60657 2956 N Sheffield Ave",1
6311 N. Milwaukee Avenue Trattoria Pasta D'Arte (773) 763-1181 [SEP] 60646 401 N. Milwaukee Ave Black Iron Tavern,0
"""1523 N. Kingsbury Street  Chicago"" Kingsbury Street Cafe [SEP] (312) 280-1718 60642 1664 N Ada St",0
1010 Church Street That Little Mexican Cafe (847) 905-1550 [SEP] 60201 200 Church St Tribecas Kitchen,0
"""1381 W. Hubbard Street  Chicago"" The Breakfast Club & Grill [SEP] (312) 666-2372 60622 1608 W North Ave",0
"""1240 W. Randolph Street  Chicago"" Alhambra Palace [SEP] (312) 666-9555 60607 1408 W Madison St",0
"""2607 W. 17th Street  Chicago"" Lagunitas Tap Room [SEP] (773) 522-1347 60608 1725 W 18th St",0
"""4600 N. Lincoln Avenue  Chicago"" Fork Chicago [SEP] (773) 751-1500 60625 4600 N Lincoln Ave",1
"""310 W. Adams Street  Chicago"" Rti Mediterranean Grill [SEP] (312) 236-3500 60606 309 W Washington St",0
1030 N. State Street Dublin's Bar & Grill (312) 266-6340 [SEP] 60610 100 W Ontario St Portillos Hot Dogs & Barnellis Salad Bowl,0
609 Milwaukee Avenue Cafe Lucci (847) 729-2268 [SEP] 60025 401 N. Milwaukee Ave Black Iron Tavern,0
"""1024 N. Rush Street  Chicago"" Hugo's Frog Bar & Fish House [SEP] (312) 640-0999 60611 21 E Hubbard St",0
"""66 E. Ohio Street  Chicago"" Shake Shack [SEP] (312) 667-1701 60611 66 E Ohio St",1
"""5321 E Mockingbird Lane  Dallas"" Trinity Hall [SEP] (214) 887-3600 75206 5321 E Mockingbird LaneSte 230",0
"""2101 Greenville Avenue  Dallas"" The Libertine Bar [SEP] (214) 824-7900 75206 3601 Greenville Ave",0
"""2000 McKinney Avenue  Suite 100  Dallas"" [SEP] Perry's Steakhouse & Grille (214) 855-5151 75201",0
"""3699 McKinney Avenue  Dallas"" Taco Diner [SEP] (214) 521-3669 75204 3699 McKinney Ave",1
"""10233 E Northwest Highway  Dallas"" Tony's Pizza & Pasta [SEP] (214) 503-0388 75238 10233 E NW HwySte 504",1
"""5315 Greenville Avenue  Dallas"" Cowboy Chicken [SEP] (214) 234-0505 75206 2815 Greenville Ave",0
"""2615 S Beckley Avenue  Dallas"" Wingfield's Breakfast & Burger [SEP] (214) 943-5214 75224 2615 S Beckley Ave",1
"""2936 Elm Street  Dallas"" Local [SEP] (214) 752-7500 75226 2936 Elm St",1
"""ILLUME  4123 Cedar Springs Road  Suite 110 [SEP]  Dallas"" Dish (214) 522-3474",1
"""3810 Congress Avenue  Dallas"" Bellini's Italian Cafe and Bar [SEP] (214) 528-2844 75219 4810 Maple Ave",0
"""2708 Routh Street  Dallas"" The Social House [SEP] (214) 999-0046 75201 2708 Routh St",1
"""2708 Routh Street  Dallas"" The Social House [SEP] (214) 999-0046 75201 3127 Routh St",0
"""3520 Greenville Avenue  Dallas"" Sundown at Granada [SEP] (214) 823-8305 75206 2020 Greenville Ave",0
9007 Garland Road Hypnotic Donuts (214) 668-6999 [SEP] 75218 9007 Garland Rd Hypnotic Donuts,1
"""2935 Elm Street  Dallas"" Mama Mia Pizza & Pasta [SEP] (214) 744-6262 75226 841 Exposition Ave",0
"""8300 Preston Road  Suite A  Dallas"" [SEP] Hillstone (214) 691-8991 75225",1
"""3601 Greenville Avenue  Dallas"" Aw Shucks Oyster Bar [SEP] (214) 821-9449 75206 2101 Greenville Ave",0
"""4302 Bryan Street  Dallas"" Vietnam Restaurant Bar & Grill [SEP] (214) 821-4542 75204 2414 N Fitzhugh Ave",0
"""2304 Victory Park Lane  Dallas"" Medina Oven & Bar [SEP] (214) 979-0003 75219 665 High Market St",0
"""2537 N Fitzhugh Avenue  Dallas"" DaLat Restaurant and Bar [SEP] (214) 827-3200 75206 2121 Greenville Ave",0
1621 Oak Lawn Avenue Ascension Coffee (214) 741-3211 [SEP] 75207 3531 Oak Lawn Ave Luckys Cafe,0
1621 Oak Lawn Avenue Ascension Coffee (214) 741-3211 [SEP] 75207 3403 Oak Lawn Ave eatZis Market & Bakery,0
"""24 Highland Park Village  Dallas"" Cafe Pacific [SEP] (214) 526-1170 75205 87 Highland Park VillageSte 200",0
7530 E Grand Avenue The Lot (214) 321-1990 [SEP] 75214 55 E Grand Ave Doc Bs,0
"""6130 Greenville Avenue  Suite 100  Dallas"" [SEP] Japanese Cafe Tampopo (214) 378-7676 75206",0
"""3223 Lemmon Avenue  Dallas"" Howard Wang's Uptown [SEP] (214) 954-9558 75204 2702 McKinney AveSte 101",0
