pairs,labels
toulouse' b peachtree rd. 'atlanta404/351 -9533french92 [SEP] ` white house restaurant '' 3172 peachtree rd. ne 'atlanta404-237-7601diners719,0
` gallagher \ 's '' 228 w. 52nd st. '` new york '212/245 -5336american254 [SEP] ` la grenouille '' 3 e. 52nd st. '` new york city '212-752-1495` french ( classic ) '623,0
` center stage plaza hotel '' 1 main st. '` las vegas '702/386 -2512american436 [SEP] ` chinois on main '' 2709 main st. '` santa monica '310-392-9025` pacific new wave '5,0
` sa tsu ki '' 3043 buford hwy . 'atlanta404/325 -5285asian415 [SEP] ` havana sandwich shop '' 2905 buford hwy . 'atlanta404-636-4094cuban695,0
` pinot bistro '' 12969 ventura blvd. '` los angeles '818/990 -0500french18 [SEP] ` mulberry st. '' 17040 ventura blvd. 'encino818-906-8881pizza580,0
` china grill ''60 w. 53rd st. '` new york '212/333 -7788american219 [SEP] seryna'11 e. 53rd st. '` new york city '212-980-9393japanese59,0
lespinasse' 2 e. 55th st. '` new york '212/339 -6719american43 [SEP] ` la caravelle ''33 w. 55th st. '` new york city '212-586-4252` french ( classic ) '39,0
` tang pavillion ''65 w. 55th st. '` new york '212/956 -6888asian356 [SEP] menchanko-tei'39 w. 55th st. '` new york city '212-247-1585japanese627,0
aquavit'13 w. 54th st. '` new york '212/307 -7311continental24 [SEP] oceana'55 e. 54th st. '` new york city '212-759-5941seafood50,0
abbey' 163 ponce de leon ave. 'atlanta404/876 -8532international379 [SEP] eats' 600 ponce de leon ave. 'atlanta404-888-9149italian690,0
` fifty seven fifty seven ''57 e. 57th st. '` new york '212/758 -5757american239 [SEP] oceana'55 e. 54th st. '` new york city '212-759-5941seafood50,0
` grand cafe hotel monaco '' 501 geary st. '` san francisco '415/292 -0101american473 [SEP] ` mel \ 's drive-in '' 3355 geary st. '` san francisco '415-387-2244hamburgers739,0
` horseradish grill '' 4320 powers ferry rd. 'atlanta404/255 -7277southern398 [SEP] ` carey \ 's corner '' 1215 powers ferry rd. 'marietta770-933-0909hamburgers686,0
` luna si '' 1931 peachtree rd. 'atlanta404/355 -5993continental405 [SEP] ` original pancake house ( at ) '' 4330 peachtree rd. 'atlanta404-237-4116american708,0
bruno' 240 e. 58th st. '` new york '212/688 -4190italian195 [SEP] ` les celebrites '' 155 w. 58th st. '` new york city '212-484-5113` french ( classic ) '42,0
eclipse' 8800 melrose ave. '` los angeles '310/724 -5959californian132 [SEP] ` mo better meatty meat '' 7261 melrose ave. 'la213-935-5280hamburgers579,0
` pacific dining car '' 6th st. '` los angeles '213/483 -6000american153 [SEP] ` andre \ 's french restaurant '' 401 s. 6th st. '` las vegas '702-385-5016` french ( classic ) '656,0
` rainbow room ''30 rockefeller plaza '` new york '212/632 -5000` or 212/632 -5100 american '55 [SEP] ` rainbow room ''30 rockefeller plaza '` new york city '212-632-5000` american ( new ) '55,1
` cafe claude '' 7 claude la . '` san francisco '415/392 -3505french97 [SEP] ` cafe claude '' 7 claude ln . '` san francisco '415-392-3505` french bistro '97,1
` yolie \ 's '' 3900 paradise rd. '` las vegas '702/794 -0700` steak houses '452 [SEP] ` nicky blair \ 's '' 3925 paradise rd. '` las vegas '702-792-9900italian668,0
` heera of india '' 595 piedmont ave. rio shopping mall 'atlanta404/876 -4408asian83 [SEP] ` rose of india '' 308 e. sixth st. '` new york city '212-533-5011indian638,0
` l \ ` osteria del forno '' 519 columbus ave. '` san francisco '415/982 -1124italian490 [SEP] ` campo santo '' 240 columbus ave. '` san francisco '415-433-9623mexican724,0
` bertolini \ 's '' 3570 las vegas blvd. s '` las vegas '702/735 -4663italian427 [SEP] moongate' 3400 las vegas blvd. s. '` las vegas '702-791-7352chinese666,0
maykadeh' 470 green st. '` san francisco '415/362 -8286` greek and middle eastern '495 [SEP] ` greenwood \ 's '' 1087 green st. 'roswell770-992-5383southern/soul693,0
dawat' 210 e. 58th st. '` new york '212/355 -7555asian32 [SEP] petrossian' 182 w. 58th st. '` new york city '212-245-2214russian52,0
` the bacchanal '' 3570 las vegas blvd. s '` las vegas '702/731 -7525` only in las vegas '449 [SEP] ` steak house the '' 2880 las vegas blvd. s. '` las vegas '702-734-0410steakhouses72,0
posto' 14928 ventura blvd. '` sherman oaks '818/784 -4400italian156 [SEP] ` rubin \ 's red hots '' 15322 ventura blvd. 'encino818-905-6515` hot dogs '590,0
` antonio \ 's '' 3700 w. flamingo '` las vegas '702/252 -7737italian423 [SEP] ` buzio \ 's in the rio '' 3700 w. flamingo rd. '` las vegas '702-252-7697seafood658,0
` ruth \ 's chris '' 148 w. 51st st. '` new york '212/245 -9600american338 [SEP] ` le bernardin '' 155 w. 51st st. '` new york city '212-489-1515seafood41,0
` tommy tang \ 's '' 7313 melrose ave. '` los angeles '213/937 -5733asian167 [SEP] patina' 5955 melrose ave. '` los angeles '213-467-1108californian16,0
` circus circus '' 2880 las vegas blvd. s '` las vegas '702/734 -0410buffets437 [SEP] ` sterling brunch '' 3645 las vegas blvd. s. '` las vegas '702-739-4651eclectic673,0
` l \ ` orangerie '' 903 n. la cienega blvd. '` los angeles '310/652 -9770french11 [SEP] matsuhisa' 129 n. la cienega blvd. '` beverly hills '310-659-9639seafood14,0
vong' 200 e. 54th st. '` new york '212/486 -9592american373 [SEP] ` sparks steak house '' 210 e. 46th st. '` new york city '212-687-4855steakhouses641,0
` margarita \ 's mexican cantina '' 3120 las vegas blvd. s '` las vegas '702/794 -8200mexican444 [SEP] ` steak house the '' 2880 las vegas blvd. s. '` las vegas '702-734-0410steakhouses72,0
` dining room ritz-carlton buckhead '' 3434 peachtree rd. 'atlanta404/237 -2700international90 [SEP] ` palm the ( atlanta ) '' 3391 peachtree rd. ne 'atlanta404-814-1955steakhouses709,0
` dante \ 's down the hatch buckhead '' 3380 peachtree rd. 'atlanta404/266 -1600continental393 [SEP] abruzzi' 2355 peachtree rd. ne 'atlanta404-261-8186italian74,0
helmand' 430 broadway '` san francisco '415/362 -0641` greek and middle eastern '479 [SEP] ` la caridad '' 2199 broadway '` new york city '212-874-2780cuban622,0
` ralph \ 's diner '' 3000 las vegas blvd. s '` las vegas '702/732 -6330` coffee shops/diners '448 [SEP] ` tre visi '' 3799 las vegas blvd. s. '` las vegas '702-891-7331italian674,0
` yoyo tsumami bistro '' 1611 post st. '` san francisco '415/922 -7788french530 [SEP] postrio' 545 post st. '` san francisco '415-776-7825californian109,0
seryna'11 e. 53rd st. '` new york '212/980 -9393asian59 [SEP] seryna'11 e. 53rd st. '` new york city '212-980-9393japanese59,1
` luna si '' 1931 peachtree rd. 'atlanta404/355 -5993continental405 [SEP] ` brookhaven cafe '' 4274 peachtree rd. 'atlanta404-231-5907vegetarian682,0
mikado' 3400 las vegas blvd. s '` las vegas '702/791 -7111asian446 [SEP] ` monte carlo '' 3145 las vegas blvd. s. '` las vegas '702-733-4524` french ( new ) '665,0
bistro' 3400 las vegas blvd. s '` las vegas '702/791 -7111continental429 [SEP] moongate' 3400 las vegas blvd. s. '` las vegas '702-791-7352chinese666,0
` cafe fes '' 246 w. 4th st. at charles st. '` new york '212/924 -7653mediterranean205 [SEP] ` cafe flore '' 2298 market st. '` san francisco '415-621-8579californian722,0
mikado' 3400 las vegas blvd. s '` las vegas '702/791 -7111asian446 [SEP] ` sterling brunch '' 3645 las vegas blvd. s. '` las vegas '702-739-4651eclectic673,0
` pinot bistro '' 12969 ventura blvd. '` los angeles '818/990 -0500french18 [SEP] ` rubin \ 's red hots '' 15322 ventura blvd. 'encino818-905-6515` hot dogs '590,0
` masa \ 's '' 648 bush st. '` san francisco '415/989 -7154french106 [SEP] ` masa \ 's '' 648 bush st. '` san francisco '415-989-7154` french ( new ) '106,1
'em press court '' 3570 las vegas blvd. s '` las vegas '702/731 -7888asian438 [SEP] ` spago ( las vegas ) '' 3500 las vegas blvd. s. '` las vegas '702-369-6300californian670,0
` mesa grill '' 102 5th ave. between 15th and 16th sts . '` new york '212/807 -7400american47 [SEP] ` mesa grill '' 102 fifth ave. '` new york city '212-807-7400southwestern47,1
` chin \ 's '' 3200 las vegas blvd. s '` las vegas '702/733 -8899asian67 [SEP] ` michael \ 's ( las vegas ) '' 3595 las vegas blvd. s. '` las vegas '702-737-7111continental664,0
patina' 5955 melrose ave. '` los angeles '213/467 -1108californian16 [SEP] ` mo better meatty meat '' 7261 melrose ave. 'la213-935-5280hamburgers579,0
triangolo' 345 e. 83rd st. '` new york '212/472 -4488italian363 [SEP] ` cafe lalo '' 201 w. 83rd st. '` new york city '212-496-6031coffeehouses26,0
` gilliland \ 's '' 2424 main st. '` santa monica '310/392 -3901american135 [SEP] ` chinois on main '' 2709 main st. '` santa monica '310-392-9025` pacific new wave '5,0
` nikolai \ 's roof '' 255 courtland st. at harris st. 'atlanta404/221 -6362continental87 [SEP] ` nikolai \ 's roof '' 255 courtland st. 'atlanta404-221-6362continental87,1
dawat' 210 e. 58th st. '` new york '212/355 -7555asian32 [SEP] ` sparks steak house '' 210 e. 46th st. '` new york city '212-687-4855steakhouses641,0
` le bernardin '' 155 w. 51st st. '` new york '212/489 -1515french41 [SEP] ` le bernardin '' 155 w. 51st st. '` new york city '212-489-1515seafood41,1
faz' 161 sutter st. '` san francisco '415/362 -0404` greek and middle eastern '469 [SEP] ` fleur de lys '' 777 sutter st. '` san francisco '415-673-7779` french ( new ) '100,0
` veni vidi vici ''41 14th st. 'atlanta404/875 -8424italian93 [SEP] ` bobby & june \ 's kountry kitchen '' 375 14th st. 'atlanta404-876-3872southern/soul680,0
mikado' 3400 las vegas blvd. s '` las vegas '702/791 -7111asian446 [SEP] ` spago ( las vegas ) '' 3500 las vegas blvd. s. '` las vegas '702-369-6300californian670,0
cite' 120 w. 51st st. '` new york '212/956 -7100french220 [SEP] ` le bernardin '' 155 w. 51st st. '` new york city '212-489-1515seafood41,0
oceana'55 e. 54th st. '` new york '212/759 -5941seafood50 [SEP] oceana'55 e. 54th st. '` new york city '212-759-5941seafood50,1
toulouse' b peachtree rd. 'atlanta404/351 -9533french92 [SEP] ` original pancake house ( at ) '' 4330 peachtree rd. 'atlanta404-237-4116american708,0
` cafe roma '' 3570 las vegas blvd. s '` las vegas '702/731 -7547` coffee shops/diners '433 [SEP] ` steak house the '' 2880 las vegas blvd. s. '` las vegas '702-734-0410steakhouses72,0
manora' 3226 mission st. '` san francisco '415/861 -6224asian494 [SEP] boulevard' 1 mission st. '` san francisco '415-543-6084` american ( new ) '96,0
` canter \ 's '' 419 n. fairfax ave. '` los angeles '213/651 -2030 .american122 [SEP] ` carey \ 's '' 1021 cobb pkwy . se 'marietta770-422-8042hamburgers685,0
` hong kong villa '' 2332 clement st. '` san francisco '415/752 -8833asian481 [SEP] ` alain rondelli '' 126 clement st. '` san francisco '415-387-0408` french ( new ) '94,0
