pairs,labels
Illusion ( feat . Echosmith )ZeddTrue ColorsDance  Music  Electronic$ 1.292015 Interscope Records6:3018-May-15 [SEP] Transmission [ feat . X Ambassadors ]ZeddTrue ColorsDance & Electronic$ 1.29( C ) 2015 Interscope Records4:02May 18  2015,0
I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson )David GuettaNothing But the BeatDance  Music  Rock  House  Electronic$ 1.292011 What A Music Ltd  Licence exclusive Parlophone Music France3:3426-Aug-11 [SEP] I Can Only Imagine ( feat . Chris Brown & Lil Wayne )David GuettaNothing But the Beat 2.0 [ Explicit ]Dance & Electronic$ 0.992015 Real Sounds3:29August 26  2011,0
Silver and GoldLittle Big TownPain KillerCountry  Music  Honky Tonk  Contemporary Country$ 1.292014 Little Big Town  LLC Under exclusive license to Capitol Records Nashville3:3321-Oct-14 [SEP] Silver And GoldLittle Big TownPain KillerCountry$ 1.29( C ) 2014 Little Big Town LLC Under exclusive license to Capitol Records Nashville3:31October 21  2014,1
Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ]David GuettaListen ( Deluxe Version )Dance  Music  Rock  House  Electronic  French Pop$ 1.292014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France  under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .3:2024-Nov-14 [SEP] I 'll Keep Loving you ( feat . Birdy & Jaymes Young )David GuettaListen ( Deluxe )Dance & Electronic$ 1.292015 If Moving Your Mine3:08November 24  2014,0
True Colors ( feat . Nicki Minaj )Wiz KhalifaBlacc HollywoodHip-Hop/Rap  Music  Rap  East Coast Rap  Hardcore Rap  Rock$ 1.292014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company4:1519-Aug-14 [SEP] Still Down ( feat . Chevy Woods & Ty Dolla $ ign ) [ Explicit ]Wiz KhalifaBlacc Hollywood [ Explicit ]Rap & Hip-Hop$ 1.292014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company4:16August 19  2014,0
I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson )David GuettaNothing But the BeatDance  Music  House  Electronic  Rock$ 1.292011 What A Music Ltd  Licence exclusive Parlophone Music France3:3426-Aug-11 [SEP] In My Head ( feat . Nervo )David GuettaNothing But the Beat 2.0 [ Explicit ]Dance & Electronic$ 0.992015 Real Sounds3:51August 26  2011,0
Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ]David GuettaListen ( Deluxe Version )Dance  Music  Rock  House  Electronic  French Pop$ 1.292014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France  under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .3:2024-Nov-14 [SEP] Bloody War ( Album Version ( Edited ) ) [ feat . BG ] [ Clean ]David BannerCertified ( Edited Version )Rap & Hip-Hop$ 0.99( C ) 2014 Island Records  a division of UMG Recordings  Inc.4:27September 20  2005,0
Lick It ( Norman Doray Remix )Kaskade & SkrillexLick It ( Remixes ) - EPDance  Music  Electronic$ 1.292012 Ultra Records  Inc.6:1417-Apr-12 [SEP] Take ÌÏ There ( feat . Kiesza ) [ Netsky Remix ]Skrillex & DiploTake ÌÏ There ( feat . Kiesza ) [ Remixes ]Dance & Electronic$ 1.292010 Robbins Entertainment LLC3:29December 23  2014,0
Whatcha Say ( Klubjumpers Remix Radio )Jason DeruloReloadedPop  Music  Rock  R&B / Soul  Contemporary R&B  Dance$ 1.292011 This Compilation P2011 Warner Bros. . Records Inc.4:0216-Dec-11 [SEP] The Sky 's The Limit ( Ayo Remix )Jason DeruloReloadedPop$ 1.29( C ) 2006 DTP Records  LLC3:25December 16  2011,0
Because of Your LoveKenny ChesneyGreatest HitsCountry  Music  Contemporary Country  Urban Cowboy$ 0.992000 BMG Entertainment4:1626-Sep-00 [SEP] Ruby  Do n't Take Your Love To TownKenny Rogers49 All Time Greatest HitsCountry  Traditional Country  Cowboy$ 0.89( c ) 2008 Goldenlane Records2:55August 1  2008,0
