pairs,labels
"""John G. Blystone Buster Keaton"" Our Hospitality [SEP] 1923 John G. Blystone The Last Man on Earth",0
"Charles Chaplin City Lights 1931 [SEP] ""F.W. Murnau Friedrich Wilhelm Murnau"" City Girl",0
William A. Wellman Night Nurse 1931 [SEP] William Wellman The Conquerors 1931 1932 1933,0
James Whale Waterloo Bridge 1931 [SEP] James Whale The Old Dark House 1931 1932 1933,0
William A. Wellman Heroes for Sale 1933 [SEP] William Wellman The Conquerors 1931 1932 1933,0
James Whale The Invisible Man 1933 [SEP] James Whale The Old Dark House 1931 1932 1933,0
John S. Robertson Our Little Girl 1935 [SEP] Irving Cummings Poor Little Rich Girl 1935 1936 1937,0
"Lambert Hillyer The Invisible Ray 1936 [SEP] ""Lew Landers Louis Friedlander"" The Raven",0
"Charles Chaplin Modern Times 1936 [SEP] ""George Stevens George Stevens Jr."" Swing Time",0
"Norman Z. McLeod Pennies from Heaven 1936 [SEP] ""Norman McLeod Norman Z. McLeod"" Pennies From Heaven",1
"George Stevens Swing Time 1936 [SEP] ""Charlie Chaplin Charles Chaplin"" Modern Times",0
"""John Cromwell W.S. Van Dyke"" The Prisoner of Zenda [SEP] 1937 John Cromwell Banjo on My Knee",0
Allan Dwan Rebecca of Sunnybrook Farm 1938 [SEP] Allan Dwan Heidi 1936 1937 1938,0
"""Victor Fleming George Cukor"" Gone with the Wind [SEP] 1939 George Cukor Holiday",0
Edmund Goulding The Old Maid 1939 [SEP] Edmund Goulding The Old Maid 1938 1939 1940,1
"""Dorothy Arzner Roy Del Ruth"" ""Dance [SEP]  Girl  Dance"" 1940",0
"""Norman Ferguson James Algar"" Fantasia [SEP] 1940 ""Deems Taylor Hugh Douglas",1
A. Edward Sutherland The Invisible Woman 1940 [SEP] Joe May The Invisible Man Returns 1939 1940 1941,0
"Michael Curtiz Casablanca 1942 [SEP] ""Michael Curtiz Hugh MacMullan"" Yankee Doodle Dandy",0
"Arthur Lubin Phantom of the Opera 1943 [SEP] ""Anthony D.P. Mann Arthur Lubin"" Phantom of the Opera",1
Roy William Neill The Spider Woman 1944 [SEP] Roy William Neill Sherlock Holmes and the Spider Woman 1943 1944 1945,0
Roy William Neill The Spider Woman 1944 [SEP] Roy William Neill Sherlock Holmes and the Woman in Green 1944 1945 1946,0
Michael Curtiz Mildred Pierce 1945 [SEP] Michael Curtiz Night and Day 1945 1946 1947,0
Michael Curtiz Night and Day 1946 [SEP] Michael Curtiz Night and Day 1945 1946 1947,1
Billy Wilder A Foreign Affair 1948 [SEP] Billy Wilder A Foreign Affair 1947 1948 1949,1
John Ford Fort Apache 1948 [SEP] John Ford Fort Apache 1947 1948 1949,1
"Vincente Minnelli The Pirate 1948 [SEP] ""Norman McLeod Norman Z. McLeod"" The Paleface",0
Fred C. Brannon King of the Rocket Men 1949 [SEP] Vincente Minnelli Father of the Bride 1949 1950 1951,0
Andrew L. Stone Highway 301 1950 [SEP] Andrew L. Stone Highway 301 1949 1950 1951,1
John Farrow Where Danger Lives 1950 [SEP] John Farrow Copper Canyon 1949 1950 1951,0
